Voltage(V),Current (A),Power Factor,Real Power (W),Energy (kWh),Apparent power(VA),Appliance,Appliance type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
0,0,0,0,0,0,Mains off,No Type
